16; // Jobs Exported with Litcube's Jobs Editor V0.52 --*-- 127
1;Freight Transporter - Commonwealth;150;9;trade.docktrader;0;10003;0;0;1;0;0;0;0;9;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;1;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
2;Chemical Transporter - Commonwealth;15;3;trade.docktrader;0;10009;0;0;1;0;0;0;0;75;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
3;Textiles Transporter - Commonwealth;15;3;trade.docktrader;0;10010;0;0;1;0;0;0;0;76;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
4;Medicinal Courier - Commonwealth;15;3;trade.docktrader;0;10011;0;0;1;0;0;0;0;77;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
5;Freight Transporter - Terran;100;9;trade.docktrader;0;10003;0;0;1;0;0;0;0;61;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;0;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
6;High-Tech Transporter - Commonwealth;75;9;trade.docktrader;0;10026;0;0;1;0;0;0;0;16;4;1;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;1;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
7;High-Tech Transporter - Terran;30;9;trade.docktrader;0;10026;0;0;1;0;0;0;0;64;4;1;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;0;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
8;High-Tech Trader - Terran;30;9;trade.freetrader.raceonly;0;3008;0;0;1;0;0;0;0;64;4;5;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;0;1;0;0;1;0;0;0;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
9;High-Tech Trader - Commonwealth (Shady);80;9;trade.freetrader;0;10026;0;0;1;0;0;0;0;57;4;10;2000;-1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;50;0;0;0;0;1;1;1;0;0;-1;-1;1;1;1;0;0;0;0;70;80;70;25;1;1;1;1;1;0;0;0;0;0;0;1;80;75;5;1;90;70;70;70;70;0;0;0;1;1;1;0;0;0;1;0;0;0
10;Weapon Transporter - Argon;50;3;trade.freetrader;0;60002;0;0;1;0;0;0;0;8;4;0;2000;-1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;-1;-1;0;1;0;0;1;1;0;1;0;0;-1;-1;1;1;1;0;0;0;0;70;80;40;25;1;0;0;0;0;0;0;0;0;0;0;0;80;90;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
