// Created with X3 Editor 2 (2.0.27.0)
// Plugin T File Editor (1.1.19.0)
55;48;
effects\weapons\bullet_ire;0;0;0;0;-1;8003;440;4;300;1800;1432500;0;48;16;192;0.065;0.065;3.0;0;200;100;220;0;112;0;255;0;0;0;0;0;0;0;0;0;0;139;69;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IRE;
effects\weapons\bullet_pac;0;0;0;0;-1;8013;858;13;301;2600;1322500;0;255;0;0;0.065;0.065;3.0;0;200;100;429;0;112;0;255;0;0;0;0;0;0;0;0;0;0;276;138;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PAC;
effects\weapons\bullet_md;575;0;0;0;-1;4953;482;4;302;1600;1342000;0;225;120;0;0.065;0.065;3.0;0;205;105;241;0;112;0;255;0;0;0;0;0;0;0;0;0;0;151;76;42;10000;25;1;0;10000;-100000;0;0;SS_BULLET_MD;
effects\weapons\bullet_prg;0;0;0;0;-1;8033;1358;21;303;2400;1207500;0;255;0;0;0.065;0.065;3.0;0;200;100;679;0;112;0;255;0;0;0;0;0;0;0;0;2;2;436;218;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PRG;
effects\weapons\bullet_ebc;0;0;0;0;-1;8043;1916;30;304;4500;1060000;0;0;255;0;0.065;0.065;3.0;0;206;106;958;0;112;0;255;0;0;0;0;0;0;0;0;0;0;621;311;93;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EBC;
effects\weapons\bullet_fbl;0;0;0;0;-1;8053;650;48;305;2600;982500;0;255;0;0;0.065;0.065;3.0;0;200;100;300;0;112;0;255;0;100;5000;0;0;0;44;12;0;0;160;85;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FBL;
effects\weapons\bullet_hept;0;0;0;0;-1;8063;4616;86;306;5200;715000;0;255;0;0;0.065;0.065;3.0;0;200;100;2308;0;112;0;255;0;0;0;0;0;0;0;0;0;0;1501;750;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_HEPT;
effects\weapons\bullet_id;0;0;0;0;-1;4623;2500;44;307;2000;1507000;0;50;50;255;0.065;0.065;3.0;0;207;107;624;0;112;0;255;0;15;1000;0;0;0;0;0;0;0;828;207;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_ID;
effects\weapons\bullet_pbe;0;0;0;0;-1;8083;748;11;308;1600;1622500;0;0;255;255;0.065;0.065;3.0;0;204;104;374;0;112;0;255;0;0;0;0;0;0;0;0;0;0;241;121;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBE;
effects\weapons\bullet_pbg;0;0;0;0;-1;8093;4610;92;309;3600;812000;0;255;120;0;0.065;0.065;3.0;0;205;105;2305;0;112;0;255;0;0;0;0;0;0;0;0;2;2;1492;746;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBG;
effects\weapons\bullet_empc;0;0;0;0;-1;8103;2118;35;310;3200;982500;0;0;255;0;0.065;0.065;3.0;0;206;106;1059;0;112;0;255;0;0;0;0;1000;2000;0;0;0;0;683;341;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EMPC;
effects\weapons\bullet_cig;0;0;0;0;0;7933;24002;470;311;8400;500000;0;255;0;0;0.4;0.4;1.0;0;209;109;12001;0;112;0;255;0;0;0;0;0;0;0;0;0;0;7956;3978;128;0;0;0;0;0;-100000;0;0;SS_BULLET_CIG;
effects\weapons\bullet_ipg;0;0;0;0;-1;8123;14921;333;312;5000;829000;0;0;0;255;0.3;0.3;4.0;0;212;112;3730;0;112;0;255;0;20;2000;25;0;0;44;1;0;0;4982;1245;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IPG;
effects\weapons\bullet_isr;0;0;0;0;-1;8133;8664;192;313;3400;1227500;0;0;255;255;0.05;0.05;0.05;0;204;104;2888;0;112;0;255;0;0;0;32;0;0;0;0;0;0;2922;974;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_ISR;
